id,title,author,pub_date,venue,volume,issue,page,type,publisher
doi:10.1155/2007/43834; local:043834; local:43834,AnLp-Lq-Version of Morgan's Theorem for then-Dimensional Euclidean Motion Group,"Ayadi, Sihem; Mokni, Kamel [orcid:0000-0003-0182-0388]",2007,International Journal of Mathematics and Mathematical Sciences [issn:0161-1712; issn:1687-0425],2007,,1-9,journal-article,Hindawi Limited [crossref:98]
doi:10.1017/s1446788700035886; local:S1446788700035886,Uncertainty principles like Hardy's theorem on some Lie groups,"Bagchi, S. C.; Ray, Swagato K.",1998,Journal of the Australian Mathematical Society. Series A. Pure Mathematics and Statistics [issn:0263-6115],65,3,289-302,journal-article,Cambridge University Press (CUP) [crossref:56]
doi:10.2140/pjm.1997.177.187,An analogue of Hardy’s theorem for very rapidly decreasing functions on semi-simple Lie groups,"Sitaram, A.; Sundari, M.",1997,Pacific Journal of Mathematics [issn:0030-8730],177,1,187-200,journal-article,Mathematical Sciences Publishers [crossref:910]
doi:10.1155/2007/58658; local:058658; local:58658,On the Existence of Positive Solutions of a Nonlinear Differential Equation,"Ben Othman, Sonia; Mâagli, Habib [orcid:0000-0002-7977-8039]; Zeddini, Noureddine [orcid:0000-0001-5763-0538]",2007,International Journal of Mathematics and Mathematical Sciences [issn:0161-1712; issn:1687-0425],2007,,1-12,journal-article,Hindawi Limited [crossref:98]
doi:10.1006/jmaa.1999.6597; local:S0022247X99965976,Twin Solutions to Singular Dirichlet Problems,"Agarwal, Ravi P.; O'Regan, Donal",1999,Journal of Mathematical Analysis and Applications [issn:0022-247X],240,2,433-445,journal-article,Elsevier BV [crossref:78]
doi:10.1155/2007/36497; local:036497; local:36497,"Co(III) and Ni(II) Complexes Containing Bioactive Ligands: Synthesis, DNA Binding, and Photocleavage Studies","Prabhakara, M. C.; Basavaraju, B. [orcid:0000-0001-8318-9387]; Naik, H. S. Bhojya",2007,Bioinorganic Chemistry and Applications [issn:1565-3633; issn:1687-479X],2007,,1-7,journal-article,Hindawi Limited [crossref:98]
doi:10.1002/anie.199727141,Charge Transfer through the DNA Base Stack,"Holmlin, R. Erik; Dandliker, Peter J.; Barton, Jacqueline K.",1997,Angewandte Chemie International Edition in English [issn:0570-0833; issn:1521-3773],36,24,2714-2730,journal-article,Wiley [crossref:311]
doi:10.1155/2007/90752; local:090752; local:90752,Silver Modified Degussa P25 for the Photocatalytic Removal of Nitric Oxide,"Bowering, Neil; Croston, Deborah; Harrison, Philip G. [orcid:0000-0002-5171-6506]; Walker, Gavin S.",2007,International Journal of Photoenergy [issn:1110-662X; issn:1687-529X],2007,,1-8,journal-article,Hindawi Limited [crossref:98]
doi:10.1016/j.apcatb.2005.07.014; local:S0926337305002985,Photocatalytic decomposition and reduction reactions of nitric oxide over Degussa P25,"Bowering, Neil; Walker, Gavin S.; Harrison, Philip G.",2006,Applied Catalysis B: Environmental [issn:0926-3373],62,3-4,208-216,journal-article,Elsevier BV [crossref:78]
doi:10.1155/2007/49535; local:049535; local:49535,Using Sequential Injection Analysis to Improve System and Data Reliability of Online Methods: Determination of Ammonium and Phosphate in Coastal Waters,"Frank, Carsten [orcid:0000-0002-2146-0319]; Schroeder, Friedhelm",2007,Journal of Automated Methods and Management in Chemistry [issn:1463-9246; issn:1464-5068],2007,,1-6,journal-article,Hindawi Limited [crossref:98]
doi:10.1016/s0003-2670(97)00366-8; local:S0003267097003668,Assessment of heat treatment for nutrient preservation in seawater samples,"Aminot, Alain; Kérouel, Roger",1997,Analytica Chimica Acta [issn:0003-2670],351,1-3,299-309,journal-article,Elsevier BV [crossref:78]
doi:10.1155/2007/18709; local:018709; local:18709,Adaptive Bayesian Iterative Transmission Reconstruction for Attenuation Correction in Myocardial Perfusion Imaging with SPECT/Slow-Rotation Low-Output CT Systems,"Chen, Ji; Garcia, Ernest V.; Folks, Russell D.; Peretz, Aharon [orcid:0000-0003-1281-4442]; Galt, James R.",2007,International Journal of Biomedical Imaging [issn:1687-4188; issn:1687-4196],2007,,1-7,journal-article,Hindawi Limited [crossref:98]
doi:10.1161/01.cir.99.21.2742; local:10.1161/01.CIR.99.21.2742,Multicenter Clinical Trial to Evaluate the Efficacy of Correction for Photon Attenuation and Scatter in SPECT Myocardial Perfusion Imaging,"Hendel, Robert C.; Berman, Daniel S.; Cullom, S. James; Follansbee, William; Heller, Gary V.; Kiat, Hosen; Groch, Mark W.; Mahmarian, John J.",1999,Circulation [issn:0009-7322; issn:1524-4539],99,21,2742-2749,journal-article,Ovid Technologies (Wolters Kluwer Health) [crossref:276]
doi:10.1109/tns.1978.4329385,A Method for Attenuation Correction in Radionuclide Computed Tomography,"Chang, Lee-Tzuu",1978,IEEE Transactions on Nuclear Science [issn:0018-9499],25,1,638-643,journal-article,Institute of Electrical and Electronics Engineers (IEEE) [crossref:263]
