id,title,author,pub_date,venue,volume,issue,page,type,publisher
doi:10.1002/cfg.304; local:476780,Development of Computational Tools for the Inference of Protein Interaction Specificity Rules and Functional Annotation Using Structural Information,"Ferrè, Fabrizio; Via, Allegra; Ausiello, Gabriele; Brannetti, Barbara; Zanzoni, Andreas; Helmer-Citterich, Manuela [orcid:0000-0001-9530-7504]",2003,Comparative and Functional Genomics [issn:1531-6912; issn:1532-6268],4,4,416-419,journal-article,Hindawi Limited [crossref:98]
doi:10.1016/s1367-5931(02)00332-0; local:S1367593102003320,In vitro selection as a powerful tool for the applied evolution of proteins and peptides,"Dower, William J; Mattheakis, Larry C",2002,Current Opinion in Chemical Biology [issn:1367-5931],6,3,390-398,journal-article,Elsevier BV [crossref:78]
doi:10.1080/10273660500441324; local:873836,Development of a Species-Specific Model of Cerebral Hemodynamics,"Daun, Silvia; Tjardes, Thorsten [orcid:0000-0002-1952-6219]",2005,Journal of Theoretical Medicine [issn:1027-3662; issn:1607-8578],6,3,181-195,journal-article,Hindawi Limited [crossref:98]
doi:10.1152/jappl.1997.82.4.1256; local:10.1152/jappl.1997.82.4.1256,A simple mathematical model of the interaction between intracranial pressure and cerebral hemodynamics,"Ursino, Mauro; Lodi, Carlo Alberto",1997,Journal of Applied Physiology [issn:8750-7587; issn:1522-1601],82,4,1256-1269,journal-article,American Physiological Society [crossref:24]
doi:10.1161/01.str.20.1.45; local:10.1161/01.STR.20.1.45,Cerebral autoregulation dynamics in humans.,"Aaslid, R; Lindegaard, K F; Sorteberg, W; Nornes, H",1989,Stroke [issn:0039-2499; issn:1524-4628],20,1,45-52,journal-article,Ovid Technologies (Wolters Kluwer Health) [crossref:276]
doi:10.1136/jnnp.29.5.398,Autoregulation of cerebral blood flow: influence of the arterial blood pressure on the blood flow through the cerebral cortex.,"Harper, A M",1966,"Journal of Neurology, Neurosurgery & Psychiatry [issn:0022-3050]",29,5,398-403,journal-article,BMJ [crossref:239]
doi:10.1113/jphysiol.1902.sp000911,On the local reactions of the arterial wall to changes of internal pressure,"Bayliss, W. M.",1902,The Journal of Physiology [issn:0022-3751],28,3,220-231,journal-article,Wiley [crossref:311]
doi:10.1080/10273660412331292260; local:895854,Amplified Molecular Binding of Prion Protein Homologues in Self-Progressive Injury of Neuronal Membranes and Trafficking Systems,"Agius, Lawrence M. [orcid:0000-0002-5487-3849]",2003,Journal of Theoretical Medicine [issn:1027-3662; issn:1607-8578],5,3-4,155-159,journal-article,Hindawi Limited [crossref:98]
doi:10.1006/nbdi.2002.0558; local:S0969-9961(02)90558-9,Astrocytes Accumulate 4-Hydroxynonenal Adducts in Murine Scrapie and Human Creutzfeldt–Jakob Disease,"Andreoletti, O",2002,Neurobiology of Disease [issn:0969-9961],11,3,386-393,journal-article,Elsevier BV [crossref:78]
doi:10.1155/aaa/2006/76582; local:076582; local:76582,Existence of positive solutions for some polyharmonic nonlinear equations inℝn,"Mâagli, Habib [orcid:0000-0002-7977-8039]; Zribi, Malek",2006,Abstract and Applied Analysis [issn:1085-3375; issn:1687-0409],2006,,1-24,journal-article,Hindawi Limited [crossref:98]
doi:10.1155/aaa/2006/24307; local:024307; local:24307,Existence of positive solutions for some nonlinear elliptic problems in unbounded domains ofℝn,"Zeddini, Noureddine [orcid:0000-0001-5763-0538]",2006,Abstract and Applied Analysis [issn:1085-3375; issn:1687-0409],2006,,1-13,journal-article,Hindawi Limited [crossref:98]
doi:10.1142/s0219199703001038; local:10.1142/S0219199703001038,Estimates on the Green Function and Existence of Positive Solutions of Nonlinear Singular Elliptic Equations,"Bachar, Imed; Maâgli, Habib; Zeddini, Noureddine",2003,Communications in Contemporary Mathematics [issn:0219-1997; issn:1793-6683],05,03,401-434,journal-article,World Scientific Pub Co Pte Lt [crossref:219]
doi:10.1007/s002080050232; local:PT3PD5GXLK6RNLYG,Estimates on Green functions and Poisson kernels for symmetric stable processes,"Chen, Zhen-Qing; Song, Renming",1998,Mathematische Annalen [issn:0025-5831; issn:1432-1807],312,3,465-501,journal-article,Springer Science and Business Media LLC [crossref:297]
doi:10.1155/ddns/2006/63245; local:063245; local:63245,Linear and nonlinear approach for DEM smoothening,"Dinesh, S. [orcid:0000-0002-9253-4602]; Radhakrishnan, P.",2006,Discrete Dynamics in Nature and Society [issn:1026-0226; issn:1607-887X],2006,,1-10,journal-article,Hindawi Limited [crossref:98]
doi:10.1006/jvci.1996.0020; local:S1047320396900206,On the Validity of Fractal Dimension Measurements in Image Analysis,"Soille, Pierre; Rivest, Jean-F.",1996,Journal of Visual Communication and Image Representation [issn:1047-3203],7,3,217-229,journal-article,Elsevier BV [crossref:78]
doi:10.1155/ddns/2006/83489; local:083489; local:83489,Stability results on age-structured SIS epidemic model with coupling impulsive effect,"Liu, Helong [orcid:0000-0002-0107-3047]; Xu, Houbao; Yu, Jingyuan; Zhu, Guangtian",2006,Discrete Dynamics in Nature and Society [issn:1026-0226; issn:1607-887X],2006,,1-11,journal-article,Hindawi Limited [crossref:98]
doi:10.1016/s0025-5564(02)00095-0; local:S0025556402000950,Stability properties of pulse vaccination strategy in SEIR epidemic model,"d'Onofrio, Alberto",2002,Mathematical Biosciences [issn:0025-5564],179,1,57-72,journal-article,Elsevier BV [crossref:78]
doi:10.1155/jamsa/2006/69584; local:069584; local:69584,On nondensely defined semilinear stochastic functional differential equations with nonlocal conditions,"Benchohra, M.; Ntouyas, S. K. [orcid:0000-0002-7695-2118]; Ouahab, A.",2006,Journal of Applied Mathematics and Stochastic Analysis [issn:1048-9533; issn:1687-2177],2006,,1-13,journal-article,Hindawi Limited [crossref:98]
doi:10.1155/jamsa/2006/23297; local:023297; local:23297,Equivalence and stability of random fixed point iterative procedures,"Beg, Ismat [orcid:0000-0002-4191-1498]; Abbas, Mujahid",2006,Journal of Applied Mathematics and Stochastic Analysis [issn:1048-9533; issn:1687-2177],2006,,1-19,journal-article,Hindawi Limited [crossref:98]
doi:10.12775/tmna.2002.020,Minimal displacement of random variables under Lipschitz random maps,"Beg, Ismag",2002,Topological Methods in Nonlinear Analysis [issn:1230-3429],19,2,391,journal-article,Uniwersytet Mikolaja Kopernika/Nicolaus Copernicus University [crossref:5093]
doi:10.1155/jamsa/2006/49431; local:049431; local:49431,Generalized flow invariance for differential inclusions,"Bhaskar, T. Gnana [orcid:0000-0002-2441-7308]; Lakshmikantham, V.",2006,Journal of Applied Mathematics and Stochastic Analysis [issn:1048-9533; issn:1687-2177],2006,,1-7,journal-article,Hindawi Limited [crossref:98]
doi:10.2140/pjm.1974.51.215,On flow-invariant sets,"Ladde, Gangaram; Lakshmikantham, V.",1974,Pacific Journal of Mathematics [issn:0030-8730; issn:0030-8730],51,1,215-220,journal-article,Mathematical Sciences Publishers [crossref:910]
doi:10.1155/mpe/2006/35672; local:035672; local:35672,Dynamics and statics of flexible axially symmetric shallow shells,"Awrejcewicz, J. [orcid:0000-0003-0387-921X]; Krysko, V. A.; Kravtsova, I. V.",2006,Mathematical Problems in Engineering [issn:1024-123X; issn:1563-5147],2006,,1-25,journal-article,Hindawi Limited [crossref:98]
doi:10.1007/s00419-003-0303-8; local:303,Analysis of complex parametric vibrations of plates and shells using Bubnov-Galerkin approach,"Awrejcewicz, J.; Krys’ko, A. V.",2003,Archive of Applied Mechanics [issn:0939-1533; issn:1432-0681],73,7,495-504,journal-article,Springer Science and Business Media LLC [crossref:297]
doi:10.1155/mpe/2006/87940; local:087940; local:87940,Thermal shock problem of a generalized thermoelastic layered composite material with variable thermal conductivity,"Youssef, H. M. [orcid:0000-0003-4919-2966]; El-Bary, A. A.",2006,Mathematical Problems in Engineering [issn:1024-123X; issn:1563-5147],2006,,1-14,journal-article,Hindawi Limited [crossref:98]
doi:10.1090/qam/575828; local:S0033569X198005758288,Generalized thermoelasticity for anisotropic media,"Dhaliwal, Ranjit S.; Sherief, Hani H.",1980,Quarterly of Applied Mathematics [issn:0033-569X; issn:1552-4485],38,1,1-8,journal-article,American Mathematical Society (AMS) [crossref:14]
doi:10.1155/mpe/2006/85623; local:085623; local:85623,Mathematical model of dissipative parametric vibrations of flexible plates with nonhomogeneous boundary conditions,"Awrejcewicz, J. [orcid:0000-0003-0387-921X]; Krysko, V. A.; Moldenkova, T. [orcid:0000-0003-2377-3674]",2006,Mathematical Problems in Engineering [issn:1024-123X; issn:1563-5147],2006,,1-16,journal-article,Hindawi Limited [crossref:98]
doi:10.1115/1.1521436,Asymptotic approaches in mechanics: New parameters and procedures,"Andrianov, Igor V; Awrejcewicz, Jan; Barantsev, Rem G",2003,Applied Mechanics Reviews [issn:0003-6900; issn:2379-0407],56,1,87-110,journal-article,ASME International [crossref:33]
doi:10.1155/mi/2006/39062; local:039062; local:39062,"Evaluation of Tumour Necrosis Factor Alpha, Interleukin-2 Soluble Receptor, Nitric Oxide Metabolites, and Lipids as Inflammatory Markers in Type 2 Diabetes Mellitus","Pereira, Flávia Ozorio; Frode, Tânia Silvia [orcid:0000-0002-5101-1442]; Medeiros, Yara Santos",2006,Mediators of Inflammation [issn:0962-9351; issn:1466-1861],2006,,1-7,journal-article,Hindawi Limited [crossref:98]
doi:10.1016/s0140-6736(98)07019-6; local:S0140673698070196,Intensive blood-glucose control with sulphonylureas or insulin compared with conventional treatment and risk of complications in patients with type 2 diabetes (UKPDS 33),,1998,The Lancet [issn:0140-6736],352,9131,837-853,journal-article,Elsevier BV [crossref:78]
doi:10.1155/mi/2006/89070; local:089070; local:89070,Lymphocyte Subpopulations in Pulmonary Tuberculosis Patients,"Deveci, Figen; Akbulut, H. Handan; Celik, Ilhami; Muz, M. Hamdi; İlhan, Fulya [orcid:0000-0001-7790-1358]",2006,Mediators of Inflammation [issn:0962-9351; issn:1466-1861],2006,,1-6,journal-article,Hindawi Limited [crossref:98]
doi:10.1155/mi/2006/27458; local:027458; local:27458,Testicular Nitric Oxide and Thiobarbituric Acid Reactive Substances Levels in Obstructive Azoospermia: A Possible Role in Pathophysiology of Infertility,"Başar, M. Murad; Kisa, Üçler; Tuğlu, Devrim [orcid:0000-0002-9777-3039]; Yilmaz, Erdal; Başar, Halil; Çağlayan, Osman; Batislam, Ertan",2006,Mediators of Inflammation [issn:0962-9351; issn:1466-1861],2006,,1-5,journal-article,Hindawi Limited [crossref:98]
doi:10.1097/01.ju.0000102322.90257.8b; local:10.1097/01.ju.0000102322.90257.8b,The Relationship Between Intravasal Sperm Quality and Patency Rates After Vasovasostomy,"SIGMAN, MARK",2004,Journal of Urology [issn:0022-5347; issn:1527-3792],171,1,307-309,journal-article,Ovid Technologies (Wolters Kluwer Health) [crossref:276]
doi:10.1155/ijbi/2006/81409; local:081409; local:81409,Message from the Editor-in-Chief,"Wang, Ge [orcid:0000-0002-2656-7705]",2006,International Journal of Biomedical Imaging [issn:1687-4188; issn:1687-4196],2006,,1-2,journal-article,Hindawi Limited [crossref:98]
doi:10.1155/ijbi/2006/12819; local:012819; local:12819,Controlled Cardiac Computed Tomography,"Bai, Erwei; Wang, Chenglin; Liu, Ying; Wang, Ge [orcid:0000-0002-2656-7705]",2006,International Journal of Biomedical Imaging [issn:1687-4188; issn:1687-4196],2006,,1-11,journal-article,Hindawi Limited [crossref:98]
doi:10.1155/mpe/2006/94929; local:094929; local:94929,"Modeling, chaotic behavior, and control of dissipation properties of hysteretic systems","Awrejcewicz, J. [orcid:0000-0003-0387-921X]; Dzyubak, L.",2006,Mathematical Problems in Engineering [issn:1024-123X; issn:1563-5147],2006,,1-21,journal-article,Hindawi Limited [crossref:98]
doi:10.1142/s0218127405013137; local:10.1142/S0218127405013137,QUANTIFYING SMOOTH AND NONSMOOTH REGULAR AND CHAOTIC DYNAMICS,"AWREJCEWICZ, J.; DZYUBAK, L.",2005,International Journal of Bifurcation and Chaos [issn:0218-1274; issn:1793-6551],15,06,2041-2055,journal-article,World Scientific Pub Co Pte Lt [crossref:219]
doi:10.1142/s021812740501306x; local:10.1142/S021812740501306X,FRICTION PAIR MODELING BY A 2-DOF SYSTEM: NUMERICAL AND EXPERIMENTAL INVESTIGATIONS,"AWREJCEWICZ, JAN; OLEJNIK, PAWEŁ",2005,International Journal of Bifurcation and Chaos [issn:0218-1274; issn:1793-6551],15,06,1931-1944,journal-article,World Scientific Pub Co Pte Lt [crossref:219]
doi:10.1006/jsvi.2000.3555; local:S0022460X00935557,DYNAMICS OF FRICTION OSCILLATORS EXCITED BY A MOVING BASE AND/OR DRIVING FORCE,"ANDREAUS, U.; CASINI, P.",2001,Journal of Sound and Vibration [issn:0022-460X],245,4,685-699,journal-article,Elsevier BV [crossref:78]
doi:10.1155/mi/2006/42394; local:042394; local:42394,Circulating sCD138 and Some Angiogenesis-Involved Cytokines Help to Anticipate the Disease Progression of Early-Stage B-Cell Chronic Lymphocytic Leukemia,"Wołowiec, Dariusz; Dybko, Jarosław [orcid:0000-0003-3555-2887]; Wróbel, Tomasz; Urbaniak-Kujda, Donata; Jaźwiec, Bożena; Tomaszewska-Toporska, Beata; Kapelko-Słowik, Katarzyna; Potoczek, Stanisław; Kuliczkowski, Kazimierz",2006,Mediators of Inflammation [issn:0962-9351; issn:1466-1861],2006,,1-6,journal-article,Hindawi Limited [crossref:98]
doi:10.1016/0092-8674(91)90308-l; local:009286749190308L,Proteoglycans as modulators of growth factor activities,"Ruoslahti, Erkki; Yamaguchi, Yu",1991,Cell [issn:0092-8674],64,5,867-869,journal-article,Elsevier BV [crossref:78]
doi:10.1155/ijmms/2006/89545; local:089545; local:89545,Invariantf-structures on the flag manifoldsSO(n)/SO(2)×SO(n−3),"Balashchenko, Vitaly V.; Sakovich, Anna [orcid:0000-0002-3876-4511]",2006,International Journal of Mathematics and Mathematical Sciences [issn:0161-1712; issn:1687-0425],2006,,1-15,journal-article,Hindawi Limited [crossref:98]
doi:10.4310/jdg/1214429504,Nearly Kähler manifolds,"Gray, Alfred",1970,Journal of Differential Geometry [issn:0022-040X],4,3,283-309,journal-article,International Press of Boston [crossref:2902]
doi:10.1155/jamsa/2006/61439; local:061439; local:61439,Solution of a transmission problem for semilinear parabolic-hyperbolic equations by the time-discretization method,"Bouziani, Abdelfatah [orcid:0000-0002-1216-8033]",2006,Journal of Applied Mathematics and Stochastic Analysis [issn:1048-9533; issn:1687-2177],2006,,1-23,journal-article,Hindawi Limited [crossref:98]
doi:10.1007/bf02576197; local:BF02576197,Un exemple de problème aux limites couplé parabolique-hyperbolique pour une structure pluri-dimensionnelle,"Lions, J. L.",1985,Calcolo [issn:0008-0624; issn:1126-5434],22,1,7-15,journal-article,Springer Science and Business Media LLC [crossref:297]
doi:10.1155/mi/2006/30485; local:030485; local:30485,"Elevated Circulating IL-1βand TNF-Alpha, and Unaltered IL-6 in First-Trimester Pregnancies Complicated by Threatened Abortion With an Adverse Outcome","Vitoratos, Nicolaos; Papadias, Constantinos; Economou, Emmanuel; Makrakis, Evangelos [orcid:0000-0002-6320-0494]; Panoulis, Constantinos; Creatsas, George",2006,Mediators of Inflammation [issn:0962-9351; issn:1466-1861],2006,,1-6,journal-article,Hindawi Limited [crossref:98]
doi:10.1016/s0301-2115(03)00119-2; local:S0301211503001192,T-helper 2-cytokine levels in women with threatened abortion,"Paradisi, Roberto; Maldini-Casadei, Mario; Boni, Paola; Busacchi, Paolo; Porcu, Eleonora; Venturoli, Stefano",2003,European Journal of Obstetrics & Gynecology and Reproductive Biology [issn:0301-2115],111,1,43-49,journal-article,Elsevier BV [crossref:78]
doi:10.1155/mi/2006/94381; local:094381; local:94381,Investigation of Midtrimester Amniotic Fluid Factors as Potential Predictors of Term and Preterm Deliveries,"Malamitsi-Puchner, Ariadne [orcid:0000-0003-3337-989X]; Vrachnis, Nikolaos; Samoli, Evi; Baka, Stavroula; Alexandrakis, George; Puchner, Karl-Philipp; Iliodromiti, Zoe; Hassiakos, Demetrios [orcid:0000-0001-6865-2919]",2006,Mediators of Inflammation [issn:0962-9351; issn:1466-1861],2006,,1-5,journal-article,Hindawi Limited [crossref:98]
doi:10.1016/s0029-7844(98)00210-5; local:S0029-7844(98)00210-5,Intrauterine viral infection at the time of second trimester genetic amniocentesis,"Wenstrom, K",1998,Obstetrics & Gynecology [issn:0029-7844],92,3,420-424,journal-article,Ovid Technologies (Wolters Kluwer Health) [crossref:276]
doi:10.1155/aaa/2006/48132; local:048132; local:48132,Gantmacher-Kreĭn theorem for 2 nonnegative operators in spaces of functions,"Kushel, O. Y. [orcid:0000-0002-9506-0828]; Zabreiko, P. P.",2006,Abstract and Applied Analysis [issn:1085-3375; issn:1687-0409],2006,,1-15,journal-article,Hindawi Limited [crossref:98]
doi:10.14492/hokmj/1530842464,POSITIVE LINEAR OPERATORS IN SEMI-ORDERED LINEAR SPACES,"Andô, Tsuyoshi",1957,"Journal of Faculty of Science, Hokkaido University. Series I. Mathematics [issn:2189-3187]",13,3-4,214-228,journal-article,"Department of Mathematics, Hokkaido University [crossref:5618]"
doi:10.1155/ddns/2006/87062; local:087062; local:87062,Stabilization criteria for continuous linear time-invariant systems with constant lags,"De La Sen, M. [orcid:0000-0001-9320-9433]",2006,Discrete Dynamics in Nature and Society [issn:1026-0226; issn:1607-887X],2006,,1-19,journal-article,Hindawi Limited [crossref:98]
doi:10.1080/00207178708933878; local:10.1080/00207178708933878,α-Stability of systems governed by a functional differential equation— extension of results concerning linear delay systems,"BOURLÈS, H.",1987,International Journal of Control [issn:0020-7179; issn:1366-5820],45,6,2233-2234,journal-article,Informa UK Limited [crossref:301]
doi:10.1080/00207178508933380; local:10.1080/00207178508933380,Comments on 'On an estimate of the delay rate for stable linear delay systems’,"HMAMED, A.",1985,International Journal of Control [issn:0020-7179; issn:1366-5820],42,2,539-540,journal-article,Informa UK Limited [crossref:301]
doi:10.1155/jamds/2006/53928; local:053928; local:53928,Synergistic modeling of call center operations,"Dietz, Dennis C. [orcid:0000-0002-4428-6544]; Vaver, Jon G.",2006,Journal of Applied Mathematics and Decision Sciences [issn:1173-9126; issn:1532-7612],2006,,1-13,journal-article,Hindawi Limited [crossref:98]
doi:10.1287/inte.19.6.1; local:10.1287/inte.19.6.1,L. L. Bean Chooses a Telephone Agent Scheduling System,"Andrews, Bruce H.; Parsons, Henry L.",1989,Interfaces [issn:0092-2102; issn:1526-551X],19,6,1-9,journal-article,Institute for Operations Research and the Management Sciences (INFORMS) [crossref:109]
doi:10.1155/jamsa/2006/92375; local:092375; local:92375,Fixed points of cone compression and expansion multimaps defined on Fréchet spaces: The projective limit approach,"Agarwal, Ravi P. [orcid:0000-0003-0634-2370]; O'Regan, Donal",2006,Journal of Applied Mathematics and Stochastic Analysis [issn:1048-9533; issn:1687-2177],2006,,1-13,journal-article,Hindawi Limited [crossref:98]
doi:10.1006/jdeq.2000.3831; local:S0022039600938312,Cone Compression and Expansion Fixed Point Theorems in Fréchet Spaces with Applications,"Agarwal, Ravi P.; O'Regan, Donal",2001,Journal of Differential Equations [issn:0022-0396],171,2,412-429,journal-article,Elsevier BV [crossref:78]
doi:10.1155/jamsa/2006/45979; local:045979; local:45979,On solutions of general nonlinear stochastic integral equations,"Balachandran, K.; Kim, J.-H. [orcid:0000-0003-4424-7905]",2006,Journal of Applied Mathematics and Stochastic Analysis [issn:1048-9533; issn:1687-2177],2006,,1-7,journal-article,Hindawi Limited [crossref:98]
doi:10.1081/sap-200064487; local:10.1081/SAP-200064487,Existence of Solutions of General Nonlinear Stochastic Volterra Fredholm Integral Equations,"Balachandran, K.; Sumathy, K.; Kuo, H. H.",2005,Stochastic Analysis and Applications [issn:0736-2994; issn:1532-9356],23,4,827-851,journal-article,Informa UK Limited [crossref:301]
doi:10.1007/bf01768469; local:BF01768469,On random nonlinear contractions,"Lee, Arthur C. H.; Padgett, W. J.",1977,Mathematical Systems Theory [issn:0025-5661; issn:1433-0490],11,1,77-84,journal-article,Springer Science and Business Media LLC [crossref:297]
doi:10.2307/1969087,A Topology for Spaces of Transformations,"Arens, Richard F.",1946,The Annals of Mathematics [issn:0003-486X],47,3,480,journal-article,JSTOR [crossref:1121]
doi:10.1155/mpe/2006/89675; local:089675; local:89675,Dynamics of a reinforced viscoelastic plate,"Andrianov, Igor V.; Awrejcewicz, Jan [orcid:0000-0003-0387-921X]; Pasichnik, Irina V.",2006,Mathematical Problems in Engineering [issn:1024-123X; issn:1563-5147],2006,,1-8,journal-article,Hindawi Limited [crossref:98]
doi:10.1016/0020-7683(84)90044-1; local:0020768384900441,A new model for thin plates with rapidly varying thickness,"Kohn, Robert V.; Vogelius, Michael",1984,International Journal of Solids and Structures [issn:0020-7683],20,4,333-350,journal-article,Elsevier BV [crossref:78]
doi:10.1155/mpe/2006/37980; local:037980; local:37980,Dynamical interaction of an elastic system and a vibro-impact absorber,"Mikhlin, Yuri V. [orcid:0000-0002-1780-9346]; Reshetnikova, S. N.",2006,Mathematical Problems in Engineering [issn:1024-123X; issn:1563-5147],2006,,1-15,journal-article,Hindawi Limited [crossref:98]
doi:10.1023/b:nody.0000027757.72648.b5,"Forced Oscillations of a System, Containing a Snap-Through Truss, Close to Its Equilibrium Position","Avramov, K.V.; Mikhlin, Yu.V.",2004,Nonlinear Dynamics [issn:0924-090X],35,4,361-379,journal-article,Springer Science and Business Media LLC [crossref:297]
doi:10.1155/ijmms/2006/81497; local:081497; local:81497,Local homogeneity in fuzzy topological spaces,"Al Ghour, Samer [orcid:0000-0002-7872-440X]",2006,International Journal of Mathematics and Mathematical Sciences [issn:0161-1712; issn:1687-0425],2006,,1-14,journal-article,Hindawi Limited [crossref:98]
doi:10.1016/0022-247x(68)90057-7; local:0022247X68900577,Fuzzy topological spaces,"Chang, C.L",1968,Journal of Mathematical Analysis and Applications [issn:0022-247X],24,1,182-190,journal-article,Elsevier BV [crossref:78]
doi:10.1155/ijmms/2006/74319; local:074319; local:74319,Matrix transformations between the spaces of Cesàro sequences and invariant means,"Mursaleen, M.; Savaş, E.; Aiyub, M.; Mohiuddine, S. A. [orcid:0000-0002-9050-9104]",2006,International Journal of Mathematics and Mathematical Sciences [issn:0161-1712; issn:1687-0425],2006,,1-8,journal-article,Hindawi Limited [crossref:98]
doi:10.1155/ijmms/2006/70747; local:070747; local:70747,A new hierarchy of integrable system of1+2dimensions: from Newton's law to generalized Hamiltonian system. Part II,"Huang, Xuncheng; Tu, Guizhang [orcid:0000-0002-8814-0264]",2006,International Journal of Mathematics and Mathematical Sciences [issn:0161-1712; issn:1687-0425],2006,,1-10,journal-article,Hindawi Limited [crossref:98]
doi:10.1002/sapm1986752179,The Recursion Operator of the Kadomtsev-Petviashvili Equation and the Squared Eigenfunctions of the Schrödinger Operator,"Fokas, A. S.; Santini, P. M.",1986,Studies in Applied Mathematics [issn:0022-2526],75,2,179-185,journal-article,Wiley [crossref:311]
doi:10.1103/physrevlett.19.1095,Method for Solving the Korteweg-deVries Equation,"Gardner, Clifford S.; Greene, John M.; Kruskal, Martin D.; Miura, Robert M.",1967,Physical Review Letters [issn:0031-9007],19,19,1095-1097,journal-article,American Physical Society (APS) [crossref:16]
doi:10.1080/14786449508620739; local:10.1080/14786449508620739,"XLI. On the change of form of long waves advancing in a rectangular canal, and on a new type of long stationary waves","Korteweg, D. J.; de Vries, G.",1895,"The London, Edinburgh, and Dublin Philosophical Magazine and Journal of Science [issn:1941-5982; issn:1941-5990]",39,240,422-443,journal-article,Informa UK Limited [crossref:301]
doi:10.1155/ijmms/2006/98760; local:098760; local:98760,Mappings and decompositions of continuity on almost Lindelöf spaces,"Fawakhreh, A. J.; Kiliçman, A. [orcid:0000-0002-1217-963X]",2006,International Journal of Mathematics and Mathematical Sciences [issn:0161-1712; issn:1687-0425],2006,,1-7,journal-article,Hindawi Limited [crossref:98]
doi:10.1155/s0161171298000027; local:421256,Subcontra-continuous functions,"Baker, C. W.",1998,International Journal of Mathematics and Mathematical Sciences [issn:0161-1712; issn:1687-0425],21,1,19-23,journal-article,Hindawi Limited [crossref:98]
doi:10.1155/ijmms/2006/78739; local:078739; local:78739,Summation identities for representation of certain real numbers,"Grossman, George; Tefera, Akalu; Zeleke, Aklilu [orcid:0000-0003-0904-4168]",2006,International Journal of Mathematics and Mathematical Sciences [issn:0161-1712; issn:1687-0425],2006,,1-8,journal-article,Hindawi Limited [crossref:98]
doi:10.1155/idog/2006/18452; local:018452; local:18452,Menstrual Disorders in Nongenital Tuberculosis,"Fallahian, Masoumeh [orcid:0000-0002-9092-2978]; Ilkhani, Maryam",2006,Infectious Diseases in Obstetrics and Gynecology [issn:1064-7449; issn:1098-0997],2006,,1-3,journal-article,Hindawi Limited [crossref:98]
doi:10.1097/00003081-197603000-00016,FEMALE GENITAL TUBERCULOSIS,"Schaefer, George",1976,Clinical Obstetrics and Gynecology [issn:0009-9201],19,1,223-239,journal-article,Ovid Technologies (Wolters Kluwer Health) [crossref:276]
doi:10.1155/idog/2006/30184; local:030184; local:30184,"Mycoplasma Genitalium Among Women With Nongonococcal, Nonchlamydial Pelvic Inflammatory Disease","Haggerty, Catherine L. [orcid:0000-0002-9849-7865]; Totten, Patricia A.; Astete, Sabina G.; Ness, Roberta B.",2006,Infectious Diseases in Obstetrics and Gynecology [issn:1064-7449; issn:1098-0997],2006,,1-5,journal-article,Hindawi Limited [crossref:98]
doi:10.1086/317942; local:10.1086/317942,Association ofMycoplasma genitaliumwith Nongonococcal Urethritis in Heterosexual Men,"Totten, Patricia A.; Schwartz, Margot A.; Sjöström, Karen E.; Kenny, George E.; Handsfield, H. Hunter; Weiss, Judith B.; Whittington, William L. H.",2001,The Journal of Infectious Diseases [issn:0022-1899; issn:1537-6613],183,2,269-276,journal-article,Oxford University Press (OUP) [crossref:286]
doi:10.1155/idog/2006/83084; local:083084; local:83084,Reducing the Health Burden of HPV Infection Through Vaccination,"Soper, David [orcid:0000-0002-5873-4934]",2006,Infectious Diseases in Obstetrics and Gynecology [issn:1064-7449; issn:1098-0997],2006,,1-5,journal-article,Hindawi Limited [crossref:98]
doi:10.1363/3600604; local:10.1363/3600604,"Sexually Transmitted Diseases Among American Youth: Incidence and Prevalence Estimates, 2000","Weinstock, Hillard; Berman, Stuart; Cates, Willard",2004,Perspectives on Sexual and Reproductive Health [issn:1538-6341; issn:1931-2393],36,1,6-10,journal-article,Guttmacher Institute [crossref:259]
doi:10.1097/00007435-199904001-00002,Estimates of the Incidence and Prevalence of Sexually Transmitted Diseases in the United States,"CATES, WILLARD",1999,Sexually Transmitted Diseases [issn:0148-5717],26,Supplement,S2-S7,journal-article,Ovid Technologies (Wolters Kluwer Health) [crossref:276]
doi:10.1155/idog/2006/36797; local:036797; local:36797,Strategies for Fostering HPV Vaccine Acceptance,"Gonik, Bernard [orcid:0000-0002-6464-7079]",2006,Infectious Diseases in Obstetrics and Gynecology [issn:1064-7449; issn:1098-0997],2006,,1-4,journal-article,Hindawi Limited [crossref:98]
doi:10.1093/her/17.6.706,Human papillomavirus infections and risks of cervical cancer: what do women know?,"Pitts, M.",2002,Health Education Research [issn:1465-3648],17,6,706-714,journal-article,Oxford University Press (OUP) [crossref:286]
doi:10.1155/aaa/2006/90837; local:090837; local:90837,The mappings of degree 1,"Krein, Maria N. [orcid:0000-0002-2052-4704]",2006,Abstract and Applied Analysis [issn:1085-3375],2006,,1-14,journal-article,Hindawi Limited [crossref:98]
doi:10.1016/0040-9383(65)90067-4; local:0040938365900674,The homotopy type of the unitary group of Hilbert space,"Kuiper, Nicolaas H.",1965,Topology [issn:0040-9383],3,1,19-30,journal-article,Elsevier BV [crossref:78]
doi:10.1155/denm/2006/56146; local:056146; local:56146,Perturbation analysis of the effective equation for two coupled periodically driven oscillators,"Okniński, Andrzej [orcid:0000-0002-6306-4293]; Kyzioł, Jan",2006,Differential Equations and Nonlinear Mechanics [issn:1687-4099; issn:1687-4102],2006,,1-10,journal-article,Hindawi Limited [crossref:98]
